company_short,year,bertopic_topic,topic_chunk_count,total_valid_chunks,topic_proportion
JD,2022,39,3,152,0.019736842105263157
JD,2022,43,1,152,0.006578947368421052
JD,2022,44,3,152,0.019736842105263157
JD,2022,45,1,152,0.006578947368421052
JD,2022,48,2,152,0.013157894736842105
JD,2022,50,2,152,0.013157894736842105
JD,2022,51,1,152,0.006578947368421052
JD,2022,52,1,152,0.006578947368421052
JD,2022,53,1,152,0.006578947368421052
JD,2022,54,1,152,0.006578947368421052
JD,2022,55,2,152,0.013157894736842105
JD,2022,56,2,152,0.013157894736842105
JD,2022,57,3,152,0.019736842105263157
JD,2022,59,5,152,0.03289473684210526
JD,2023,0,21,182,0.11538461538461539
JD,2023,1,18,182,0.0989010989010989
JD,2023,2,2,182,0.01098901098901099
JD,2023,3,2,182,0.01098901098901099
JD,2023,4,6,182,0.03296703296703297
JD,2023,6,23,182,0.12637362637362637
JD,2023,7,2,182,0.01098901098901099
JD,2023,8,5,182,0.027472527472527472
JD,2023,9,3,182,0.016483516483516484
JD,2023,10,6,182,0.03296703296703297
JD,2023,11,5,182,0.027472527472527472
JD,2023,12,4,182,0.02197802197802198
JD,2023,13,1,182,0.005494505494505495
JD,2023,14,4,182,0.02197802197802198
JD,2023,15,2,182,0.01098901098901099
JD,2023,16,7,182,0.038461538461538464
JD,2023,17,3,182,0.016483516483516484
JD,2023,18,3,182,0.016483516483516484
JD,2023,19,2,182,0.01098901098901099
JD,2023,20,3,182,0.016483516483516484
JD,2023,21,1,182,0.005494505494505495
JD,2023,23,1,182,0.005494505494505495
JD,2023,26,2,182,0.01098901098901099
JD,2023,28,1,182,0.005494505494505495
JD,2023,30,3,182,0.016483516483516484
JD,2023,31,1,182,0.005494505494505495
JD,2023,32,1,182,0.005494505494505495
JD,2023,33,2,182,0.01098901098901099
JD,2023,34,1,182,0.005494505494505495
JD,2023,35,2,182,0.01098901098901099
JD,2023,36,2,182,0.01098901098901099
JD,2023,37,6,182,0.03296703296703297
JD,2023,38,3,182,0.016483516483516484
JD,2023,39,3,182,0.016483516483516484
JD,2023,43,2,182,0.01098901098901099
JD,2023,47,1,182,0.005494505494505495
JD,2023,48,8,182,0.04395604395604396
JD,2023,49,2,182,0.01098901098901099
JD,2023,50,1,182,0.005494505494505495
JD,2023,54,1,182,0.005494505494505495
JD,2023,55,3,182,0.016483516483516484
JD,2023,57,4,182,0.02197802197802198
JD,2023,58,1,182,0.005494505494505495
JD,2023,59,8,182,0.04395604395604396
JD,2024,0,14,172,0.08139534883720931
JD,2024,1,21,172,0.12209302325581395
JD,2024,2,4,172,0.023255813953488372
JD,2024,3,4,172,0.023255813953488372
JD,2024,4,6,172,0.03488372093023256
JD,2024,5,2,172,0.011627906976744186
JD,2024,6,21,172,0.12209302325581395
JD,2024,7,5,172,0.029069767441860465
JD,2024,8,4,172,0.023255813953488372
JD,2024,9,2,172,0.011627906976744186
JD,2024,10,6,172,0.03488372093023256
JD,2024,11,4,172,0.023255813953488372
JD,2024,12,3,172,0.01744186046511628
JD,2024,13,1,172,0.005813953488372093
JD,2024,14,3,172,0.01744186046511628
JD,2024,15,2,172,0.011627906976744186
JD,2024,16,5,172,0.029069767441860465
JD,2024,17,3,172,0.01744186046511628
JD,2024,19,1,172,0.005813953488372093
JD,2024,20,3,172,0.01744186046511628
JD,2024,21,2,172,0.011627906976744186
JD,2024,23,2,172,0.011627906976744186
JD,2024,25,1,172,0.005813953488372093
JD,2024,26,1,172,0.005813953488372093
JD,2024,28,3,172,0.01744186046511628
JD,2024,29,1,172,0.005813953488372093
